"total_rewards","action_rewards","opinion_rewards"
23462,11334,12128
22819,10727,12092
23812,11560,12252
23421,11227,12194
23559,11429,12130
22026,10173,11853
24428,12322,12106
22697,10694,12003
23862,11919,11943
24011,11870,12141
23763,11590,12173
22240,10224,12016
22823,10937,11886
23156,11139,12017
23946,11938,12008
22580,10658,11922
24558,12445,12113
23266,11152,12114
21767,10133,11634
23174,11141,12033
22471,10498,11973
24201,12056,12145
23205,11170,12035
24223,12147,12076
23574,11495,12079
23436,11539,11897
24898,12585,12313
24482,12243,12239
24247,12173,12074
24960,12732,12228
21885,9860,12025
23027,11036,11991
22711,10572,12139
22942,10938,12004
23659,11562,12097
22492,10634,11858
23657,11476,12181
23507,11394,12113
22453,10500,11953
24169,11989,12180
24150,12015,12135
23789,11680,12109
23630,11446,12184
24296,12276,12020
23293,11220,12073
22054,10191,11863
24965,12735,12230
24619,12369,12250
24541,12233,12308
24200,11917,12283
23446,11381,12065
23186,11141,12045
24351,12320,12031
22348,10628,11720
21549,9730,11819
23099,11231,11868
23004,11150,11854
23371,11202,12169
24113,12012,12101
24290,12330,11960
23405,11370,12035
23368,11253,12115
21190,9516,11674
22937,11212,11725
23205,11574,11631
24530,12429,12101
23491,11754,11737
23374,11354,12020
22079,10387,11692
24873,12900,11973
24018,11856,12162
23396,11315,12081
22552,10580,11972
23947,11867,12080
22839,10932,11907
20611,9058,11553
22707,10759,11948
23063,10991,12072
23968,11787,12181
23198,11247,11951
24053,12101,11952
22505,10641,11864
23811,11679,12132
23412,11385,12027
22246,10276,11970
22866,10995,11871
23082,11351,11731
24151,12094,12057
22406,10455,11951
23445,11423,12022
23126,11060,12066
23687,11475,12212
23638,11612,12026
22700,10716,11984
24244,12143,12101
24120,11927,12193
22324,10327,11997
22519,10615,11904
24024,11990,12034
23087,11120,11967
24168,11975,12193
23886,12103,11783
23589,11494,12095
23164,11199,11965
21479,9822,11657
21952,10038,11914
23765,11864,11901
22344,10492,11852
24055,12279,11776
21338,9713,11625
23486,11403,12083
22341,10548,11793
23289,11376,11913
21606,9908,11698
22262,10579,11683
23771,12042,11729
24272,12117,12155
23764,11753,12011
23964,11787,12177
22075,10281,11794
23259,11187,12072
22523,10702,11821
21682,9976,11706
21959,10143,11816
21357,9681,11676
24412,12316,12096
23215,11209,12006
23791,11847,11944
23284,11251,12033
23189,11376,11813
23311,11370,11941
23318,11272,12046
23433,11366,12067
23822,11761,12061
23607,11843,11764
23688,11800,11888
23657,11585,12072
22026,10415,11611
21693,10009,11684
23582,11527,12055
24301,12421,11880
23374,11319,12055
23158,11276,11882
23460,11412,12048
22872,11263,11609
23286,11208,12078
23456,11387,12069
23523,11536,11987
23043,11089,11954
22944,11128,11816
20294,9089,11205
23515,11529,11986
22704,10703,12001
24066,12015,12051
22969,11359,11610
22726,10819,11907
23405,11505,11900
23075,11084,11991
23249,11246,12003
23058,11251,11807
23072,11144,11928
23437,11390,12047
22930,11134,11796
22689,10803,11886
23121,11316,11805
23737,11662,12075
24106,11966,12140
24626,12482,12144
23773,11647,12126
23470,11664,11806
23493,11514,11979
24638,12714,11924
23906,11916,11990
24601,12444,12157
24182,12403,11779
23855,11837,12018
23711,11807,11904
21745,10151,11594
24145,12153,11992
24070,12004,12066
23961,11919,12042
23931,11916,12015
22586,10712,11874
23320,11443,11877
23450,11466,11984
23929,12004,11925
21350,9607,11743
23828,11792,12036
23881,11880,12001
23999,12064,11935
22852,10954,11898
23721,11771,11950
23715,11676,12039
23522,11471,12051
23960,12225,11735
22978,11000,11978
23516,11560,11956
21356,9885,11471
23072,11116,11956
24361,12640,11721
24123,12081,12042
23728,11679,12049
23348,11451,11897
23570,11558,12012
22952,11079,11873
23898,11961,11937
23841,11804,12037
23104,11096,12008
22077,10365,11712
23860,11893,11967
24002,11995,12007
23955,11963,11992
23582,11653,11929
22397,10516,11881
22915,11018,11897
23868,12125,11743
21455,9937,11518
24493,12335,12158
23821,12035,11786
22186,10810,11376
22197,10437,11760
24173,12117,12056
23929,12013,11916
24125,12220,11905
23276,11388,11888
23306,11408,11898
22957,11338,11619
22935,11072,11863
23751,11956,11795
23305,11357,11948
21215,9718,11497
24688,12904,11784
23852,11783,12069
23066,11076,11990
23761,11924,11837
22337,10881,11456
23603,11700,11903
22791,10944,11847
23612,11776,11836
25040,13008,12032
22814,10856,11958
24038,12063,11975
23053,11159,11894
23449,11501,11948
23534,11964,11570
22603,10770,11833
24249,12248,12001
22071,10222,11849
23025,11237,11788
22925,11095,11830
24006,11950,12056
22897,11035,11862
22884,11122,11762
23813,12119,11694
24937,12886,12051
23542,11553,11989
24336,12549,11787
22901,11175,11726
23942,11891,12051
23797,11823,11974
22541,10649,11892
23774,11849,11925
23262,11414,11848
21771,10019,11752
21844,10412,11432
24277,12251,12026
24147,12490,11657
22385,10895,11490
24122,12189,11933
23468,11508,11960
22867,11092,11775
22874,11057,11817
23709,11784,11925
23646,11692,11954
21410,9987,11423
23998,12005,11993
23491,11565,11926
23411,11462,11949
23997,12010,11987
24114,12149,11965
22827,11108,11719
20548,9294,11254
23768,11774,11994
23642,11601,12041
23275,11468,11807
22535,10692,11843
24606,12902,11704
23578,11953,11625
22698,10907,11791
23121,11399,11722
22516,11025,11491
23505,11484,12021
22602,10743,11859
23056,11488,11568
23331,11369,11962
22247,10406,11841
23114,11293,11821
23945,12167,11778
23619,11697,11922
21691,9990,11701
24100,12399,11701
22103,10437,11666
23557,11615,11942
22485,10661,11824
23960,11956,12004
24076,12185,11891
24260,12185,12075
24654,12686,11968
24382,12329,12053
24005,11920,12085
23208,11417,11791
24661,12750,11911
23097,11309,11788
24243,12238,12005
22963,11103,11860
22880,10985,11895
22139,10494,11645
22247,10565,11682
23913,11944,11969
22997,11150,11847
24029,12287,11742
20874,9357,11517
24350,12315,12035
22536,10741,11795
23359,11403,11956
23952,12009,11943
24051,12088,11963
20465,9029,11436
23266,11474,11792
22924,11123,11801
