"total_rewards","action_rewards","opinion_rewards","mean_loss1","mean_loss2"
123332,67497,55835,-0.169095375329859,0.644626207607375
123413,67502,55911,-0.171359426097876,0.637313321251316
123304,67489,55815,-0.174859981441907,0.630586735364473
123300,67491,55809,-0.173917202884199,0.620489933173468
123476,67517,55959,-0.168175997921737,0.621203120384863
123320,67501,55819,-0.172198656367519,0.607051710998216
123327,67481,55846,-0.171219024234002,0.60739287414207
123269,67487,55782,-0.170478750972225,0.604014145781614
123296,67491,55805,-0.17121394606286,0.590555438124681
123443,67499,55944,-0.170395317748295,0.590047905061246
123454,67501,55953,-0.173453970638432,0.587937465666222
123363,67504,55859,-0.172460866964221,0.585028446324974
123383,67502,55881,-0.174380381862813,0.578377623294099
123389,67511,55878,-0.172400103171028,0.576805204762654
123300,67498,55802,-0.178054582446269,0.564818093233572
123263,67484,55779,-0.178300826280611,0.549380212398352
123278,67492,55786,-0.176088469033791,0.54145835407491
123227,67488,55739,-0.173934021135739,0.544063132565828
123272,67490,55782,-0.172779186905774,0.539179255199005
123395,67502,55893,-0.17478390899209,0.545577309694702
123442,67491,55951,-0.17952145447264,0.540115929390727
123408,67495,55913,-0.181771986387453,0.525988764332777
123380,67505,55875,-0.176256646463431,0.532186530508757
123354,67478,55876,-0.181933822409932,0.516291927183259
123212,67466,55746,-0.184375329889802,0.503351890066088
123320,67486,55834,-0.182933136471547,0.505900241290378
123296,67472,55824,-0.184925316494165,0.493204213322183
123390,67477,55913,-0.183548864754795,0.488938138215136
123443,67471,55972,-0.182312916449552,0.493295266756798
123447,67487,55960,-0.183246806288926,0.487076304722789
123444,67484,55960,-0.183080245433666,0.494806027675407
123444,67480,55964,-0.187512974680894,0.482843458882681
123465,67481,55984,-0.184388222185159,0.472706037610293
123490,67506,55984,-0.181000511961809,0.466013330371193
123501,67498,56003,-0.180025323774449,0.448673447981128
123381,67463,55918,-0.188677773009774,0.443271995776079
123438,67462,55976,-0.191395284329403,0.442373929126982
123421,67465,55956,-0.189030425939365,0.439155239156786
123483,67479,56004,-0.186340452501397,0.437704127682214
123586,67494,56092,-0.188807022743012,0.435615902695149
123476,67478,55998,-0.188832208530088,0.421883632240563
123444,67470,55974,-0.189903838855918,0.417247754616123
123564,67479,56085,-0.189080823713448,0.413179165498745
123432,67460,55972,-0.192532116550534,0.387249660193761
123409,67446,55963,-0.194807676735218,0.381546793244673
123246,67448,55798,-0.194055269474947,0.36629819460782
123400,67466,55934,-0.193081366049327,0.373808105099174
123439,67458,55981,-0.199494113071308,0.369899327413242
123514,67458,56056,-0.203827693461657,0.367145962559682
123449,67461,55988,-0.200239447424246,0.350340546200592
123370,67464,55906,-0.194069923244983,0.350546777947139
123307,67456,55851,-0.195240024821859,0.344440096416458
123384,67456,55928,-0.1944126380204,0.34636238553847
123367,67448,55919,-0.197123902220681,0.329142999892197
123307,67446,55861,-0.199829498213314,0.33084729467254
123295,67429,55866,-0.202219110773083,0.323005120696193
123339,67442,55897,-0.200397193696699,0.317804885819681
123354,67432,55922,-0.205358369413377,0.308997818055319
123470,67438,56032,-0.204378638237672,0.31167345450191
123437,67438,55999,-0.206228647796194,0.308715887346824
123432,67446,55986,-0.203977410265361,0.306415409147038
123418,67459,55959,-0.200826825254163,0.300647025977642
123452,67446,56006,-0.199969076876005,0.301788540401189
123429,67439,55990,-0.207584833530101,0.29070383857126
123488,67427,56061,-0.208676468737196,0.286867380655762
123486,67437,56049,-0.20541429613791,0.285327179619609
123401,67414,55987,-0.208054364592747,0.280653812544188
123426,67423,56003,-0.205526158481768,0.283520235595907
123401,67437,55964,-0.204096866186327,0.263977539321852
123468,67432,56036,-0.205537296880291,0.275846508547494
123431,67439,55992,-0.207431487305307,0.27563089524073
123399,67440,55959,-0.20543559060686,0.257914198428096
123516,67442,56074,-0.206583728077451,0.267929350160623
123443,67422,56021,-0.212449105789578,0.253635283344192
